total_pressure,total_enthalpy,heat_transfer_coef,Velocity,Temperature
37.84423767,289073.9684,913.7236096,10,1000
6.097199346,611895.24,649.0125559,10,1000
-0.354423942,660797.4177,313.0421435,10,1000
0.475477142,671891.9303,236.8204127,10,1000
0.289813564,677423.445,198.8179817,10,1000
0.293415364,681096.858,173.5810385,10,1000
0.251600175,683791.3135,155.0697148,10,1000
0.23800113,685900.4103,140.5799039,10,1000
0.22303669,687615.9826,128.793672,10,1000
0.21450574,689052.8845,118.9219511,10,1000
0.207230607,690282.1902,110.4764487,10,1000
0.201985551,691352.0466,103.1263881,10,1000
0.197533325,692295.7752,96.64284447,10,1000
0.193885557,693137.5699,90.85960149,10,1000
0.19065131,693895.3523,85.65353636,10,1000
0.187791915,694582.7936,80.93072428,10,1000
0.18518973,695210.511,76.61822381,10,1000
0.18280739,695786.9156,72.65824976,10,1000
0.180600223,696318.7673,69.00436087,10,1000
0.178539992,696811.5814,65.61866511,10,1000
0.176602416,697269.9096,62.46989282,10,1000
0.174768562,697697.5524,59.53193318,10,1000
0.173018114,698097.7182,56.78274432,10,1000
0.171349011,698473.1323,54.2036031,10,1000
0.169749542,698826.1289,51.77847322,10,1000
0.168206814,699158.7253,49.49349489,10,1000
0.166710491,699472.6741,47.33662897,10,1000
0.165245195,699769.5106,45.29732607,10,1000
0.163796414,700050.5897,43.36627851,10,1000
0.162363079,700317.1077,41.53526807,10,1000
0.160932043,700570.1295,39.79697842,10,1000
0.159493875,700810.6,38.14491788,10,1000
0.158040384,701039.3718,36.57322882,10,1000
0.156534041,701257.2299,35.07651833,10,1000
0.155069068,701464.8088,33.65042717,10,1000
0.153736013,701662.938,32.2892572,10,1000
0.152367765,701844.2232,31.04380728,10,1000
0.150891483,702006.2047,29.93097591,10,1000
0.149437138,702151.916,28.92992273,10,1000
0.148048434,702283.8646,28.02342266,10,1000
0.146715317,702404.0836,27.19750508,10,1000
0.145424109,702514.2197,26.44085729,10,1000
0.144161494,702615.6148,25.74426148,10,1000
0.142921044,702709.3712,25.10014672,10,1000
0.141700022,702796.4054,24.50221632,10,1000
0.140490871,702877.488,23.94517003,10,1000
0.139297813,702953.2691,23.42454443,10,1000
0.13811859,703024.3021,22.9365427,10,1000
0.136946512,703091.0636,22.4778907,10,1000
0.135783783,703153.967,22.0457452,10,1000
0.134623351,703213.3733,21.63761906,10,1000
0.133461056,703269.5944,21.25137269,10,1000
0.13229748,703322.9032,20.88513408,10,1000
0.131138699,703373.5439,20.53722523,10,1000
0.129985868,703421.732,20.20616579,10,1000
0.128839605,703467.6591,19.89064071,10,1000
0.12770012,703511.4961,19.589476,10,1000
0.126565794,703553.397,19.30161465,10,1000
0.125436454,703593.5002,19.02610386,10,1000
0.124311504,703631.9305,18.76208609,10,1000
0.123189917,703668.8011,18.50878366,10,1000
0.122071073,703704.2152,18.26548663,10,1000
0.120954742,703738.2665,18.03155121,10,1000
0.119841873,703771.0399,17.80639792,10,1000
0.118732792,703802.6125,17.58949558,10,1000
0.11762642,703833.0561,17.38034866,10,1000
0.116521634,703862.4371,17.1785003,10,1000
0.115418955,703890.816,16.98353645,10,1000
0.11431905,703918.2481,16.79507968,10,1000
0.113222052,703944.7845,16.61277808,10,1000
0.112127243,703970.4729,16.43630202,10,1000
0.111034107,703995.3578,16.26534504,10,1000
0.109942106,704019.4806,16.09962356,10,1000
0.108851427,704042.8791,15.93887858,10,1000
0.107763241,704065.5884,15.78287078,10,1000
0.106677031,704087.6416,15.63136987,10,1000
0.105591407,704109.0703,15.484157,10,1000
0.104506955,704129.9037,15.34103566,10,1000
0.103424984,704150.168,15.20182621,10,1000
0.102345047,704169.8883,15.06635431,10,1000
0.101266301,704189.089,14.93445208,10,1000
0.100188512,704207.7927,14.80596328,10,1000
0.09911198,704226.0205,14.68074356,10,1000
0.098037035,704243.7923,14.55865806,10,1000
0.096964114,704261.1264,14.43958263,10,1000
0.095893491,704278.0396,14.32339952,10,1000
0.094823991,704294.5492,14.20998708,10,1000
0.093754034,704310.6722,14.09922796,10,1000
0.092684587,704326.4233,13.99102612,10,1000
0.091618379,704341.8154,13.88529465,10,1000
0.090554688,704356.8615,13.78194129,10,1000
0.08949203,704371.5746,13.68087391,10,1000
0.088430199,704385.9677,13.58200385,10,1000
0.087368639,704400.0524,13.48525181,10,1000
0.086308523,704413.8392,13.39054902,10,1000
0.085250898,704427.3378,13.29782834,10,1000
0.084195462,704440.5579,13.20702173,10,1000
0.083141251,704453.5092,13.1180606,10,1000
0.082087618,704466.2013,13.03088039,10,1000
0.081034785,704478.6424,12.94542435,10,1000
0.079983822,704490.8406,12.86163904,10,1000
